time	month	temperature	feelslike	wind	direction	gust	cloud	humidity	precipitation	pressure	weather	label
0:00	1	24.0	28.0	8.0	ENE	12.0	4.0	86.0	0.0	1012.0	Clear	Clear
3:00	1	23.0	27.0	8.0	NE	10.0	4.0	88.0	0.0	1011.0	Clear	Sunny
6:00	1	23.0	26.0	8.0	NNE	11.0	7.0	85.0	0.0	1012.0	Sunny	Sunny
9:00	1	28.0	33.0	11.0	NNE	13.0	6.0	64.0	0.0	1012.0	Sunny	Partly cloudy
12:00	1	31.0	35.0	10.0	ENE	12.0	62.0	53.0	0.0	1010.0	Partly cloudy	Cloudy
15:00	1	31.0	36.0	1.0	NNE	1.0	79.0	57.0	0.0	1009.0	Cloudy	Partly cloudy
18:00	1	26.0	29.0	5.0	ESE	10.0	40.0	77.0	0.0	1010.0	Partly cloudy	Patchy rain possible
21:00	1	25.0	28.0	8.0	NE	15.0	29.0	79.0	0.2	1011.0	Patchy rain possible	Clear
0:00	1	24.0	26.0	10.0	NNE	17.0	12.0	84.0	0.0	1011.0	Clear	Clear
3:00	1	23.0	26.0	8.0	NE	14.0	17.0	85.0	0.0	1010.0	Clear	Sunny
6:00	1	24.0	26.0	10.0	NE	14.0	16.0	80.0	0.0	1011.0	Sunny	Sunny
9:00	1	29.0	32.0	12.0	NE	14.0	9.0	62.0	0.0	1012.0	Sunny	Partly cloudy
12:00	1	32.0	36.0	12.0	E	14.0	55.0	53.0	0.0	1010.0	Partly cloudy	Patchy rain possible
15:00	1	31.0	36.0	9.0	E	13.0	19.0	59.0	1.6	1009.0	Patchy rain possible	Partly cloudy
18:00	1	26.0	30.0	6.0	ESE	12.0	34.0	76.0	0.0	1011.0	Partly cloudy	Clear
21:00	1	25.0	28.0	9.0	ENE	17.0	21.0	77.0	0.0	1012.0	Clear	Partly cloudy
0:00	1	24.0	27.0	9.0	NE	15.0	32.0	84.0	0.0	1011.0	Partly cloudy	Partly cloudy
3:00	1	23.0	26.0	8.0	NE	14.0	38.0	85.0	0.0	1010.0	Partly cloudy	Sunny
6:00	1	23.0	26.0	8.0	NE	11.0	20.0	83.0	0.0	1011.0	Sunny	Sunny
9:00	1	28.0	31.0	10.0	NE	12.0	12.0	64.0	0.0	1011.0	Sunny	Sunny
12:00	1	32.0	36.0	9.0	E	10.0	18.0	49.0	0.0	1009.0	Sunny	Sunny
15:00	1	32.0	37.0	5.0	SE	6.0	19.0	51.0	0.0	1008.0	Sunny	Partly cloudy
18:00	1	26.0	29.0	8.0	SSE	14.0	31.0	70.0	0.0	1010.0	Partly cloudy	Partly cloudy
21:00	1	25.0	27.0	5.0	ESE	9.0	30.0	73.0	0.0	1011.0	Partly cloudy	Clear
0:00	1	24.0	26.0	8.0	NE	13.0	20.0	75.0	0.0	1010.0	Clear	Clear
3:00	1	23.0	26.0	9.0	NNE	14.0	24.0	78.0	0.0	1010.0	Clear	Partly cloudy
6:00	1	23.0	26.0	9.0	NNE	13.0	28.0	76.0	0.0	1010.0	Partly cloudy	Sunny
9:00	1	28.0	31.0	8.0	NNE	9.0	25.0	62.0	0.0	1011.0	Sunny	Cloudy
12:00	1	31.0	35.0	7.0	E	8.0	74.0	53.0	0.0	1009.0	Cloudy	Light rain shower
15:00	1	30.0	35.0	8.0	ESE	12.0	40.0	60.0	1.9	1008.0	Light rain shower	Partly cloudy
18:00	1	26.0	30.0	6.0	SE	13.0	31.0	77.0	0.0	1009.0	Partly cloudy	Patchy rain possible
21:00	1	25.0	28.0	5.0	SE	8.0	24.0	85.0	0.4	1010.0	Patchy rain possible	Partly cloudy
0:00	1	24.0	27.0	3.0	NNE	4.0	36.0	88.0	0.0	1010.0	Partly cloudy	Clear
3:00	1	24.0	27.0	6.0	NE	10.0	22.0	88.0	0.0	1010.0	Clear	Sunny
6:00	1	24.0	27.0	7.0	ENE	9.0	23.0	87.0	0.0	1010.0	Sunny	Sunny
9:00	1	28.0	32.0	9.0	E	11.0	25.0	66.0	0.0	1010.0	Sunny	Partly cloudy
12:00	1	32.0	36.0	14.0	ESE	17.0	26.0	51.0	0.0	1008.0	Partly cloudy	Partly cloudy
15:00	1	31.0	35.0	15.0	SE	20.0	25.0	54.0	0.1	1007.0	Partly cloudy	Clear
18:00	1	26.0	29.0	8.0	SE	14.0	22.0	73.0	0.0	1009.0	Clear	Partly cloudy
21:00	1	25.0	28.0	9.0	ESE	17.0	28.0	75.0	0.0	1010.0	Partly cloudy	Partly cloudy
0:00	1	24.0	27.0	10.0	E	19.0	27.0	77.0	0.0	1009.0	Partly cloudy	Partly cloudy
3:00	1	24.0	26.0	9.0	ENE	16.0	25.0	80.0	0.0	1008.0	Partly cloudy	Sunny
6:00	1	24.0	27.0	8.0	ENE	11.0	24.0	78.0	0.0	1009.0	Sunny	Sunny
9:00	1	29.0	32.0	10.0	ENE	12.0	20.0	60.0	0.0	1009.0	Sunny	Partly cloudy
12:00	1	32.0	35.0	12.0	ESE	14.0	33.0	50.0	0.0	1007.0	Partly cloudy	Partly cloudy
15:00	1	31.0	35.0	13.0	ESE	18.0	42.0	57.0	0.1	1006.0	Partly cloudy	Partly cloudy
18:00	1	26.0	30.0	7.0	ESE	13.0	28.0	77.0	0.0	1008.0	Partly cloudy	Partly cloudy
21:00	1	26.0	29.0	6.0	ESE	12.0	30.0	78.0	0.1	1009.0	Partly cloudy	Clear
0:00	1	24.0	27.0	8.0	E	14.0	23.0	81.0	0.0	1009.0	Clear	Partly cloudy
3:00	1	24.0	27.0	9.0	ENE	15.0	37.0	84.0	0.0	1008.0	Partly cloudy	Partly cloudy
6:00	1	25.0	28.0	9.0	ENE	13.0	30.0	80.0	0.0	1008.0	Partly cloudy	Sunny
9:00	1	30.0	33.0	13.0	E	15.0	18.0	60.0	0.0	1009.0	Sunny	Partly cloudy
12:00	1	32.0	35.0	20.0	ESE	23.0	27.0	53.0	0.0	1007.0	Partly cloudy	Patchy rain possible
15:00	1	31.0	34.0	20.0	ESE	26.0	23.0	57.0	0.9	1005.0	Patchy rain possible	Clear
18:00	1	26.0	29.0	16.0	SE	28.0	21.0	71.0	0.0	1007.0	Clear	Clear
21:00	1	25.0	27.0	15.0	ESE	26.0	22.0	74.0	0.0	1008.0	Clear	Clear
0:00	1	24.0	27.0	14.0	ESE	24.0	22.0	76.0	0.0	1008.0	Clear	Clear
3:00	1	24.0	26.0	12.0	E	20.0	16.0	79.0	0.0	1008.0	Clear	Sunny
6:00	1	24.0	27.0	13.0	E	20.0	13.0	78.0	0.0	1008.0	Sunny	Sunny
9:00	1	29.0	32.0	14.0	E	16.0	13.0	58.0	0.0	1009.0	Sunny	Sunny
12:00	1	32.0	35.0	15.0	ESE	18.0	17.0	49.0	0.0	1007.0	Sunny	Sunny
15:00	1	31.0	34.0	18.0	SE	22.0	22.0	54.0	0.0	1006.0	Sunny	Clear
18:00	1	26.0	29.0	17.0	SE	28.0	17.0	73.0	0.0	1008.0	Clear	Clear
21:00	1	25.0	27.0	14.0	ESE	22.0	14.0	76.0	0.0	1009.0	Clear	Clear
0:00	1	24.0	27.0	13.0	ESE	20.0	10.0	78.0	0.0	1009.0	Clear	Clear
3:00	1	23.0	27.0	10.0	E	15.0	9.0	80.0	0.0	1008.0	Clear	Sunny
6:00	1	24.0	27.0	10.0	E	12.0	7.0	79.0	0.0	1009.0	Sunny	Sunny
9:00	1	29.0	34.0	8.0	E	9.0	7.0	61.0	0.0	1010.0	Sunny	Sunny
12:00	1	32.0	38.0	7.0	SE	8.0	7.0	48.0	0.0	1008.0	Sunny	Sunny
15:00	1	31.0	35.0	12.0	SSE	14.0	16.0	50.0	0.0	1007.0	Sunny	Clear
18:00	1	26.0	29.0	12.0	SSE	18.0	15.0	71.0	0.0	1008.0	Clear	Clear
21:00	1	25.0	28.0	11.0	SE	17.0	8.0	78.0	0.0	1009.0	Clear	Clear
0:00	1	24.0	27.0	12.0	ESE	19.0	13.0	80.0	0.0	1009.0	Clear	Clear
3:00	1	24.0	27.0	9.0	ENE	14.0	17.0	81.0	0.0	1009.0	Clear	Partly cloudy
6:00	1	25.0	28.0	8.0	ENE	10.0	28.0	81.0	0.0	1010.0	Partly cloudy	Partly cloudy
9:00	1	29.0	34.0	4.0	E	5.0	34.0	63.0	0.0	1011.0	Partly cloudy	Partly cloudy
12:00	1	32.0	37.0	6.0	SSE	7.0	49.0	51.0	0.0	1008.0	Partly cloudy	Sunny
15:00	1	31.0	35.0	12.0	SSE	14.0	24.0	58.0	0.0	1007.0	Sunny	Partly cloudy
18:00	1	26.0	29.0	12.0	SE	19.0	36.0	74.0	0.0	1009.0	Partly cloudy	Partly cloudy
21:00	1	25.0	28.0	10.0	SE	15.0	26.0	77.0	0.0	1010.0	Partly cloudy	Cloudy
0:00	1	25.0	27.0	10.0	ESE	16.0	74.0	80.0	0.0	1010.0	Cloudy	Cloudy
3:00	1	25.0	27.0	5.0	E	7.0	77.0	79.0	0.0	1010.0	Cloudy	Partly cloudy
6:00	1	24.0	27.0	6.0	NE	9.0	36.0	82.0	0.0	1010.0	Partly cloudy	Cloudy
9:00	1	29.0	33.0	10.0	NNE	11.0	79.0	68.0	0.0	1010.0	Cloudy	Partly cloudy
12:00	1	31.0	37.0	6.0	NNW	7.0	42.0	60.0	0.0	1008.0	Partly cloudy	Partly cloudy
15:00	1	30.0	36.0	2.0	WSW	3.0	34.0	65.0	0.0	1007.0	Partly cloudy	Partly cloudy
18:00	1	26.0	30.0	7.0	S	12.0	34.0	81.0	0.0	1009.0	Partly cloudy	Partly cloudy
21:00	1	25.0	28.0	9.0	SSE	16.0	27.0	83.0	0.0	1010.0	Partly cloudy	Partly cloudy
0:00	1	24.0	28.0	6.0	S	9.0	31.0	87.0	0.0	1010.0	Partly cloudy	Partly cloudy
3:00	1	24.0	27.0	4.0	WSW	6.0	45.0	89.0	0.0	1009.0	Partly cloudy	Partly cloudy
6:00	1	24.0	28.0	5.0	WNW	7.0	52.0	85.0	0.0	1010.0	Partly cloudy	Partly cloudy
9:00	1	28.0	32.0	10.0	NW	12.0	60.0	70.0	0.0	1009.0	Partly cloudy	Partly cloudy
12:00	1	31.0	35.0	12.0	NW	14.0	41.0	61.0	0.0	1007.0	Partly cloudy	Sunny
15:00	1	31.0	37.0	10.0	NW	12.0	9.0	58.0	0.0	1006.0	Sunny	Clear
18:00	1	27.0	32.0	9.0	W	15.0	7.0	72.0	0.0	1007.0	Clear	Partly cloudy
21:00	1	26.0	30.0	6.0	SW	12.0	26.0	76.0	0.0	1008.0	Partly cloudy	Overcast
0:00	1	25.0	28.0	6.0	SSW	10.0	88.0	83.0	0.0	1008.0	Overcast	Clear
3:00	1	24.0	28.0	7.0	WSW	10.0	21.0	89.0	0.0	1008.0	Clear	Partly cloudy
6:00	1	25.0	28.0	5.0	W	6.0	27.0	88.0	0.0	1009.0	Partly cloudy	Sunny
9:00	1	29.0	34.0	8.0	NW	9.0	18.0	68.0	0.0	1009.0	Sunny	Partly cloudy
12:00	1	32.0	37.0	9.0	N	10.0	30.0	50.0	0.0	1007.0	Partly cloudy	Sunny
15:00	1	32.0	37.0	7.0	NNW	8.0	18.0	50.0	0.0	1006.0	Sunny	Partly cloudy
18:00	1	28.0	31.0	3.0	W	7.0	37.0	66.0	0.0	1007.0	Partly cloudy	Cloudy
21:00	1	27.0	30.0	1.0	SSE	1.0	65.0	71.0	0.0	1008.0	Cloudy	Partly cloudy
0:00	1	26.0	29.0	1.0	ENE	1.0	55.0	77.0	0.0	1009.0	Partly cloudy	Partly cloudy
3:00	1	25.0	28.0	4.0	N	6.0	46.0	82.0	0.1	1008.0	Partly cloudy	Cloudy
6:00	1	25.0	27.0	8.0	NE	11.0	63.0	84.0	0.1	1009.0	Cloudy	Partly cloudy
9:00	1	29.0	34.0	11.0	NE	13.0	28.0	67.0	0.0	1009.0	Partly cloudy	Cloudy
12:00	1	32.0	36.0	10.0	NE	12.0	74.0	56.0	0.0	1008.0	Cloudy	Moderate or heavy rain shower
15:00	1	30.0	36.0	8.0	E	13.0	43.0	63.0	2.8	1007.0	Moderate or heavy rain shower	Partly cloudy
18:00	1	26.0	30.0	8.0	SSE	13.0	48.0	84.0	0.0	1009.0	Partly cloudy	Light rain shower
21:00	1	25.0	28.0	8.0	SSE	13.0	86.0	87.0	0.8	1010.0	Light rain shower	Cloudy
0:00	1	25.0	28.0	4.0	SE	7.0	64.0	88.0	0.0	1010.0	Cloudy	Light rain shower
3:00	1	25.0	28.0	5.0	ENE	7.0	97.0	89.0	1.0	1010.0	Light rain shower	Overcast
6:00	1	24.0	28.0	8.0	NNE	11.0	91.0	92.0	0.0	1011.0	Overcast	Patchy light drizzle
9:00	1	27.0	32.0	11.0	N	13.0	43.0	76.0	0.2	1011.0	Patchy light drizzle	Partly cloudy
12:00	1	30.0	36.0	10.0	NE	11.0	46.0	63.0	0.0	1009.0	Partly cloudy	Torrential rain shower
15:00	1	28.0	33.0	5.0	SSE	11.0	64.0	78.0	9.8	1009.0	Torrential rain shower	Cloudy
18:00	1	25.0	28.0	6.0	NNE	8.0	84.0	89.0	0.0	1010.0	Cloudy	Light drizzle
21:00	1	25.0	28.0	8.0	NNW	11.0	84.0	90.0	0.4	1010.0	Light drizzle	Overcast
0:00	1	24.0	26.0	13.0	N	20.0	94.0	90.0	0.0	1010.0	Overcast	Light drizzle
3:00	1	24.0	26.0	8.0	N	12.0	90.0	89.0	0.3	1010.0	Light drizzle	Light drizzle
6:00	1	24.0	27.0	7.0	NNE	10.0	81.0	87.0	0.5	1010.0	Light drizzle	Partly cloudy
9:00	1	28.0	31.0	15.0	E	17.0	56.0	71.0	0.0	1011.0	Partly cloudy	Cloudy
12:00	1	30.0	34.0	22.0	ESE	26.0	73.0	67.0	0.0	1010.0	Cloudy	Patchy rain possible
15:00	1	29.0	32.0	22.0	SE	34.0	30.0	70.0	2.5	1009.0	Patchy rain possible	Clear
18:00	1	25.0	28.0	12.0	SE	20.0	23.0	81.0	0.0	1010.0	Clear	Clear
21:00	1	25.0	27.0	11.0	ESE	19.0	21.0	82.0	0.0	1011.0	Clear	Clear
0:00	1	24.0	27.0	11.0	E	19.0	15.0	83.0	0.0	1011.0	Clear	Clear
3:00	1	24.0	27.0	9.0	ENE	14.0	17.0	86.0	0.0	1011.0	Clear	Sunny
6:00	1	24.0	27.0	7.0	NE	9.0	22.0	85.0	0.0	1012.0	Sunny	Sunny
9:00	1	28.0	33.0	9.0	E	10.0	15.0	66.0	0.0	1012.0	Sunny	Sunny
12:00	1	32.0	35.0	10.0	E	12.0	22.0	50.0	0.0	1010.0	Sunny	Partly cloudy
15:00	1	32.0	36.0	8.0	ESE	9.0	27.0	50.0	0.0	1009.0	Partly cloudy	Clear
18:00	1	27.0	30.0	9.0	ESE	16.0	20.0	70.0	0.0	1012.0	Clear	Clear
21:00	1	26.0	28.0	9.0	ESE	17.0	19.0	68.0	0.0	1013.0	Clear	Clear
0:00	1	25.0	27.0	9.0	ENE	15.0	23.0	73.0	0.0	1013.0	Clear	Partly cloudy
3:00	1	24.0	26.0	9.0	NE	15.0	47.0	79.0	0.0	1012.0	Partly cloudy	Partly cloudy
6:00	1	24.0	26.0	8.0	NE	12.0	43.0	77.0	0.0	1013.0	Partly cloudy	Partly cloudy
9:00	1	28.0	31.0	7.0	NE	8.0	32.0	60.0	0.0	1014.0	Partly cloudy	Cloudy
12:00	1	32.0	34.0	8.0	NE	9.0	77.0	46.0	0.0	1012.0	Cloudy	Partly cloudy
15:00	1	30.0	34.0	3.0	NE	4.0	47.0	54.0	0.0	1011.0	Partly cloudy	Clear
